Wavenumbers	Absorbance	
2261.500	0.1418642	
2261.000	0.1366387	
2260.500	0.1318438	
2260.000	0.1274923	
2259.500	0.1236044	
2259.000	0.1200907	
2258.500	0.1168875	
2258.000	0.1140523	
2257.500	0.1116143	
2257.000	0.1094671	
2256.500	0.1075671	
2256.000	0.1060083	
2255.500	0.1047871	
2255.000	0.1037694	
2254.500	0.102941	
2254.000	0.1024298	
2253.500	0.1022157	
2253.000	0.1021472	
2252.500	0.102208	
2252.000	0.10249	
2251.500	0.1029163	
2251.000	0.103309	
2250.500	0.1036564	
2250.000	0.1040362	
2249.500	0.1043563	
2249.000	0.1044426	
2248.500	0.1042966	
2248.000	0.1040083	
2247.500	0.1035264	
2247.000	0.102736	
2246.500	0.1016787	
2246.000	0.1004744	
2245.500	0.09912063	
2245.000	0.09756213	
2244.500	0.09587716	
2244.000	0.09420995	
2243.500	0.09258622	
2243.000	0.09095756	
2242.500	0.08937072	
2242.000	0.08793876	
2241.500	0.08668881	
2241.000	0.08557076	
2240.500	0.08459195	
2240.000	0.08381869	
2239.500	0.08326428	
2239.000	0.08288065	
2238.500	0.0826619	
2238.000	0.08266391	
2237.500	0.08291912	
2237.000	0.08340736	
2236.500	0.08412282	
2236.000	0.08510608	
2235.500	0.08639194	
2235.000	0.0879747	
2234.500	0.08984409	
2234.000	0.09201952	
2233.500	0.09452954	
2233.000	0.09738026	
2232.500	0.1005607	
2232.000	0.1040625	
2231.500	0.1078838	
2231.000	0.1120135	
2230.500	0.1164212	
2230.000	0.1210625	
2229.500	0.1258982	
2229.000	0.1309032	
2228.500	0.1360509	
2228.000	0.1412953	
2227.500	0.1465847	
2227.000	0.1518847	
2226.500	0.1571602	
2226.000	0.1623398	
2225.500	0.1673259	
2225.000	0.1720345	
2224.500	0.1763809	
2224.000	0.1802269	
2223.500	0.1833826	
2223.000	0.1856687	
2222.500	0.1869425	
2222.000	0.1870743	
2221.500	0.1859695	
2221.000	0.1836359	
2220.500	0.180192	
2220.000	0.1758121	
2219.500	0.1707037	
2219.000	0.1651229	
2218.500	0.1593471	
2218.000	0.1536128	
2217.500	0.1480962	
2217.000	0.1429377	
2216.500	0.1382451	
2216.000	0.134075	
2215.500	0.1304443	
2215.000	0.1273653	
2214.500	0.1248542	
2214.000	0.1229094	
2213.500	0.1215061	
2213.000	0.1206096	
2212.500	0.1201704	
2212.000	0.1201043	
2211.500	0.1203002	
2211.000	0.120647	
2210.500	0.1210338	
2210.000	0.1213212	
2209.500	0.1213398	
2209.000	0.1209299	
2208.500	0.1199767	
2208.000	0.1184186	
2207.500	0.1162594	
2207.000	0.1135824	
2206.500	0.1105329	
2206.000	0.1072729	
2205.500	0.1039561	
2205.000	0.1007288	
2204.500	0.09772098	
2204.000	0.09502351	
2203.500	0.09268072	
2203.000	0.0907033	
2202.500	0.0890737	
2202.000	0.08774388	
2201.500	0.08665087	
2201.000	0.08574798	
2200.500	0.08502067	
2200.000	0.08448099	
2199.500	0.08416435	
2199.000	0.0841326	
2198.500	0.0844622	
2198.000	0.08521864	
2197.500	0.08644335	
2197.000	0.08815717	
2196.500	0.09035605	
2196.000	0.09299426	
2195.500	0.09597651	
2195.000	0.09916438	
2194.500	0.1023791	
2194.000	0.1054015	
2193.500	0.1079937	
2193.000	0.1099378	
2192.500	0.1110609	
2192.000	0.1112401	
2191.500	0.1104184	
2191.000	0.1086295	
2190.500	0.1059949	
2190.000	0.1026911	
2189.500	0.09891799	
2189.000	0.09487967	
2188.500	0.09076278	
2188.000	0.08671904	
2187.500	0.08286972	
2187.000	0.07932028	
2186.500	0.07615874	
2186.000	0.07344355	
2185.500	0.07120613	
2185.000	0.06946686	
2184.500	0.06824155	
2184.000	0.0675368	
2183.500	0.06735106	
2183.000	0.06768094	
2182.500	0.06851819	
2182.000	0.0698411	
2181.500	0.07161667	
2181.000	0.07380714	
2180.500	0.07635983	
2180.000	0.0791874	
2179.500	0.08216783	
2179.000	0.08516556	
2178.500	0.0880426	
2178.000	0.09064969	
2177.500	0.0928234	
2177.000	0.09440381	
2176.500	0.09525604	
2176.000	0.09528631	
2175.500	0.09445964	
2175.000	0.09280947	
2174.500	0.09041945	
2174.000	0.08739261	
2173.500	0.08384232	
2173.000	0.07990042	
2172.500	0.07571022	
2172.000	0.07140311	
2171.500	0.06708613	
2171.000	0.06284571	
2170.500	0.0587491	
2170.000	0.05484085	
2169.500	0.05114851	
2169.000	0.04769447	
2168.500	0.0444975	
2168.000	0.04156486	
2167.500	0.03889079	
2167.000	0.03646346	
2166.500	0.03426861	
2166.000	0.03228964	
2165.500	0.03051321	
2165.000	0.02893527	
2164.500	0.02755475	
2164.000	0.02636143	
2163.500	0.0253358	
2163.000	0.02446021	
2162.500	0.02372418	
2162.000	0.02311995	
2161.500	0.02263979	
2161.000	0.02227757	
2160.500	0.0220257	
2160.000	0.02186944	
2159.500	0.02178925	
2159.000	0.02176879	
2158.500	0.02179548	
2158.000	0.02185454	
2157.500	0.02193022	
2157.000	0.02201449	
2156.500	0.02210882	
2156.000	0.02221683	
2155.500	0.02234112	
2155.000	0.02248736	
2154.500	0.02266523	
2154.000	0.02288404	
2153.500	0.02315188	
2153.000	0.02347902	
2152.500	0.0238764	
2152.000	0.02435081	
2151.500	0.02490708	
2151.000	0.02555526	
2150.500	0.02630979	
2150.000	0.02718065	
2149.500	0.02817064	
2149.000	0.02928187	
2148.500	0.03051917	
2148.000	0.03188667	
2147.500	0.03338683	
2147.000	0.0350239	
2146.500	0.03680199	
2146.000	0.03871783	
2145.500	0.04076032	
2145.000	0.04291816	
2144.500	0.04518219	
2144.000	0.04753877	
2143.500	0.04996659	
2143.000	0.05244244	
2142.500	0.05494585	
2142.000	0.05745918	
2141.500	0.05997284	
2141.000	0.06249441	
2140.500	0.06504725	
2140.000	0.06765866	
2139.500	0.07035519	
2139.000	0.07316878	
2138.500	0.07613869	
2138.000	0.07930293	
2137.500	0.08269045	
2137.000	0.08631904	
2136.500	0.0901908	
2136.000	0.0942857	
2135.500	0.09856345	
2135.000	0.1029696	
2134.500	0.1074285	
2134.000	0.1118259	
2133.500	0.1160087	
2133.000	0.1198076	
2132.500	0.1230607	
2132.000	0.1256245	
2131.500	0.1273868	
2131.000	0.1282835	
2130.500	0.1283012	
2130.000	0.1274673	
2129.500	0.1258506	
2129.000	0.1235693	
2128.500	0.1207773	
2128.000	0.1176262	
2127.500	0.1142413	
2127.000	0.1107221	
2126.500	0.1071469	
2126.000	0.103567	
2125.500	0.1000056	
2125.000	0.09646795	
2124.500	0.09295009	
2124.000	0.08944149	
2123.500	0.08593071	
2123.000	0.08241507	
2122.500	0.07890111	
2122.000	0.07539674	
2121.500	0.07190996	
2121.000	0.0684555	
2120.500	0.06505594	
2120.000	0.06173528	
2119.500	0.05851638	
2119.000	0.05542497	
2118.500	0.05248833	
2118.000	0.04972585	
2117.500	0.04714468	
2117.000	0.04474715	
2116.500	0.042539	
2116.000	0.04052909	
2115.500	0.03872622	
2115.000	0.03713883	
2114.500	0.03577426	
2114.000	0.03463578	
2113.500	0.03372315	
2113.000	0.0330375	
2112.500	0.0325839	
2112.000	0.03236834	
2111.500	0.03239452	
2111.000	0.03266256	
2110.500	0.033166	
2110.000	0.03388795	
2109.500	0.03480136	
2109.000	0.03587292	
2108.500	0.03706263	
2108.000	0.03831782	
2107.500	0.03957023	
2107.000	0.04074062	
2106.500	0.04174578	
2106.000	0.04250639	
2105.500	0.04296193	
2105.000	0.04308873	
2104.500	0.04290739	
2104.000	0.04247509	
2103.500	0.04187293	
2103.000	0.04119506	
2102.500	0.04053637	
2102.000	0.03997835	
2101.500	0.03958082	
2101.000	0.03938222	
2100.500	0.03940115	
2100.000	0.03963543	
2099.500	0.04006421	
2099.000	0.04065611	
2098.500	0.04137816	
2098.000	0.04220237	
2097.500	0.0431131	
2097.000	0.04411396	
2096.500	0.04522857	
2096.000	0.0464958	
2095.500	0.0479688	
2095.000	0.04971743	
2094.500	0.05182319	
2094.000	0.05436666	
2093.500	0.05741472	
2093.000	0.06100947	
2092.500	0.06515728	
2092.000	0.06981986	
2091.500	0.07490452	
2091.000	0.08024618	
2090.500	0.08558377	
2090.000	0.09055502	
2089.500	0.09473672	
2089.000	0.09772433	
2088.500	0.09921625	
2088.000	0.09907662	
2087.500	0.09736828	
2087.000	0.09434219	
2086.500	0.09037314	
2086.000	0.08586619	
2085.500	0.08118205	
2085.000	0.07660215	
2084.500	0.07232181	
2084.000	0.06846151	
2083.500	0.06508948	
2083.000	0.06224248	
2082.500	0.05993437	
2082.000	0.05815864	
2081.500	0.05689471	
2081.000	0.05611883	
2080.500	0.05581204	
2080.000	0.05595873	
2079.500	0.05654385	
2079.000	0.05755263	
2078.500	0.05896496	
2078.000	0.06074272	
2077.500	0.06282748	
2077.000	0.06515911	
2076.500	0.0676909	
2076.000	0.07037589	
2075.500	0.0731356	
2075.000	0.0758491	
2074.500	0.07837636	
2074.000	0.08058888	
2073.500	0.08237726	
2073.000	0.08363799	
2072.500	0.08426774	
2072.000	0.08417946	
2071.500	0.08332753	
2071.000	0.0817206	
2070.500	0.07941645	
2070.000	0.07650949	
2069.500	0.07311882	
2069.000	0.069379	
2068.500	0.0654303	
2068.000	0.06140497	
2067.500	0.05741382	
2067.000	0.05354422	
2066.500	0.04986507	
2066.000	0.04642696	
2065.500	0.04325716	
2065.000	0.04036012	
2064.500	0.0377297	
2064.000	0.03535926	
2063.500	0.03323596	
2063.000	0.03132985	
2062.500	0.02959914	
2062.000	0.02800895	
2061.500	0.02654251	
2061.000	0.02519338	
2060.500	0.02395245	
2060.000	0.02280889	
2059.500	0.0217563	
2059.000	0.02079116	
2058.500	0.01990703	
2058.000	0.01909376	
2057.500	0.01834155	
2057.000	0.01764574	
2056.500	0.01700549	
2056.000	0.0164173	
2055.500	0.01587331	
2055.000	0.01536549	
2054.500	0.01488971	
2054.000	0.01444576	
2053.500	0.014035	
2053.000	0.0136576	
2052.500	0.01331023	
2052.000	0.01298612	
2051.500	0.01267982	
2051.000	0.01239222	
2050.500	0.01212928	
2050.000	0.0118953	
2049.500	0.01168882	
2049.000	0.01150526	
2048.500	0.01134158	
2048.000	0.01119848	
2047.500	0.01107881	
2047.000	0.01098419	
2046.500	0.0109133	
2046.000	0.01086153	
2045.500	0.01082556	
2045.000	0.01080959	
2044.500	0.01082099	
2044.000	0.01085787	
2043.500	0.01091016	
2043.000	0.01097412	
2042.500	0.01105609	
2042.000	0.01115913	
2041.500	0.01127447	
2041.000	0.01139268	
2040.500	0.0115164	
2040.000	0.01165292	
2039.500	0.01179883	
2039.000	0.01194302	
